Perioden;Regio's;Gemiddelde verkoopprijs (euro)
2022;Dalen;
2023;Dalen;
2024;Dalen;
1995;Dalfsen;117029
1996;Dalfsen;128331
1997;Dalfsen;146641
1998;Dalfsen;151750
1999;Dalfsen;163577
2000;Dalfsen;193233
2001;Dalfsen;230321
2002;Dalfsen;225394
2003;Dalfsen;236780
2004;Dalfsen;250168
2005;Dalfsen;239137
2006;Dalfsen;256939
2007;Dalfsen;277665
2008;Dalfsen;276697
2009;Dalfsen;260821
2010;Dalfsen;239302
2011;Dalfsen;231795
2012;Dalfsen;227427
2013;Dalfsen;227766
2014;Dalfsen;237096
2015;Dalfsen;234903
2016;Dalfsen;254193
2017;Dalfsen;260435
2018;Dalfsen;294259
2019;Dalfsen;303668
2020;Dalfsen;344270
2021;Dalfsen;393372
2022;Dalfsen;438023
2023;Dalfsen;453709
2024;Dalfsen;480929
1995;Dantumadeel;73909
1996;Dantumadeel;79293
1997;Dantumadeel;89537
1998;Dantumadeel;99280
1999;Dantumadeel;122997
2000;Dantumadeel;143363
2001;Dantumadeel;159917
2002;Dantumadeel;194358
2003;Dantumadeel;180541
2004;Dantumadeel;180557
2005;Dantumadeel;203008
2006;Dantumadeel;199513
2007;Dantumadeel;213527
2008;Dantumadeel;220978
2009;Dantumadeel;
2010;Dantumadeel;
2011;Dantumadeel;
2012;Dantumadeel;
2013;Dantumadeel;
2014;Dantumadeel;
2015;Dantumadeel;
2016;Dantumadeel;
2017;Dantumadeel;
2018;Dantumadeel;
2019;Dantumadeel;
2020;Dantumadeel;
2021;Dantumadeel;
2022;Dantumadeel;
2023;Dantumadeel;
2024;Dantumadeel;
1995;Dantumadiel;
1996;Dantumadiel;
1997;Dantumadiel;
1998;Dantumadiel;
1999;Dantumadiel;
2000;Dantumadiel;
2001;Dantumadiel;
2002;Dantumadiel;
2003;Dantumadiel;
2004;Dantumadiel;
2005;Dantumadiel;
2006;Dantumadiel;
2007;Dantumadiel;
2008;Dantumadiel;
2009;Dantumadiel;202182
2010;Dantumadiel;207530
2011;Dantumadiel;205102
2012;Dantumadiel;179117
2013;Dantumadiel;175049
2014;Dantumadiel;179396
2015;Dantumadiel;187644
2016;Dantumadiel;206037
2017;Dantumadiel;209322
2018;Dantumadiel;225605
2019;Dantumadiel;234227
2020;Dantumadiel;257872
2021;Dantumadiel;290598
2022;Dantumadiel;365470
2023;Dantumadiel;332254
2024;Dantumadiel;359932
1995;Delft;79928
1996;Delft;91805
1997;Delft;99841
1998;Delft;110289
1999;Delft;121592
2000;Delft;145867
2001;Delft;162822
2002;Delft;184625
2003;Delft;190841
2004;Delft;189476
2005;Delft;198283
2006;Delft;214069
2007;Delft;223556
2008;Delft;238041
2009;Delft;221021
2010;Delft;225757
2011;Delft;229994
2012;Delft;212589
2013;Delft;208528
2014;Delft;212725
2015;Delft;211971
2016;Delft;224039
2017;Delft;250075
2018;Delft;282851
2019;Delft;311299
2020;Delft;339921
2021;Delft;395478
2022;Delft;417460
2023;Delft;388177
2024;Delft;409999
1995;Delfzijl;61842
1996;Delfzijl;62973
1997;Delfzijl;73437
1998;Delfzijl;69550
1999;Delfzijl;78474
2000;Delfzijl;92073
2001;Delfzijl;96377
2002;Delfzijl;113476
2003;Delfzijl;112657
2004;Delfzijl;126393
2005;Delfzijl;134929
2006;Delfzijl;141315
2007;Delfzijl;150673
2008;Delfzijl;153332
2009;Delfzijl;138547
2010;Delfzijl;141921
2011;Delfzijl;143982
2012;Delfzijl;137535
2013;Delfzijl;132658
2014;Delfzijl;123452
2015;Delfzijl;130887
2016;Delfzijl;132086
2017;Delfzijl;140643
2018;Delfzijl;142173
2019;Delfzijl;155120
2020;Delfzijl;177054
2021;Delfzijl;
2022;Delfzijl;
2023;Delfzijl;
2024;Delfzijl;
1995;Denekamp;92273
1996;Denekamp;109452
1997;Denekamp;115574
1998;Denekamp;120612
1999;Denekamp;162481
2000;Denekamp;172093
2001;Denekamp;216074
2002;Denekamp;213022
2003;Denekamp;
2004;Denekamp;
2005;Denekamp;
2006;Denekamp;
2007;Denekamp;
2008;Denekamp;
2009;Denekamp;
2010;Denekamp;
2011;Denekamp;
2012;Denekamp;
2013;Denekamp;
2014;Denekamp;
2015;Denekamp;
2016;Denekamp;
2017;Denekamp;
2018;Denekamp;
2019;Denekamp;
2020;Denekamp;
2021;Denekamp;
2022;Denekamp;
2023;Denekamp;
2024;Denekamp;
1995;Deurne;109419
1996;Deurne;130665
1997;Deurne;152479
1998;Deurne;163456
1999;Deurne;202888
2000;Deurne;229485
2001;Deurne;230186
2002;Deurne;232351
2003;Deurne;241205
2004;Deurne;234874
2005;Deurne;257527
2006;Deurne;287285
2007;Deurne;291060
2008;Deurne;322813
2009;Deurne;306662
2010;Deurne;282437
2011;Deurne;276036
2012;Deurne;262824
2013;Deurne;243753
2014;Deurne;217151
2015;Deurne;237365
2016;Deurne;261610
2017;Deurne;288606
2018;Deurne;286500
2019;Deurne;298007
2020;Deurne;339761
2021;Deurne;375140
2022;Deurne;423064
2023;Deurne;412143
2024;Deurne;423560
1995;Deventer;70509
1996;Deventer;79072
1997;Deventer;87390
1998;Deventer;96038
1999;Deventer;118588
2000;Deventer;147520
2001;Deventer;166067
2002;Deventer;172561
2003;Deventer;184536
2004;Deventer;184453
2005;Deventer;192965
2006;Deventer;200673
2007;Deventer;210984
2008;Deventer;211700
2009;Deventer;206932
2010;Deventer;205165
2011;Deventer;214811
2012;Deventer;203303
2013;Deventer;180761
2014;Deventer;196528
2015;Deventer;194410
2016;Deventer;207765
2017;Deventer;226791
2018;Deventer;248134
2019;Deventer;264234
2020;Deventer;288511
2021;Deventer;343585
2022;Deventer;382158
2023;Deventer;367666
2024;Deventer;400782
1995;Didam;105758
1996;Didam;123680
1997;Didam;145273
1998;Didam;154216
1999;Didam;200062
2000;Didam;212191
2001;Didam;208776
2002;Didam;238671
2003;Didam;239666
2004;Didam;251797
2005;Didam;
2006;Didam;
2007;Didam;
2008;Didam;
2009;Didam;
2010;Didam;
2011;Didam;
2012;Didam;
2013;Didam;
2014;Didam;
2015;Didam;
2016;Didam;
2017;Didam;
2018;Didam;
2019;Didam;
2020;Didam;
2021;Didam;
2022;Didam;
2023;Didam;
2024;Didam;
1995;Diemen;106592
1996;Diemen;106523
1997;Diemen;122344
1998;Diemen;147599
1999;Diemen;168464
2000;Diemen;187605
2001;Diemen;206612
2002;Diemen;201666
2003;Diemen;210393
2004;Diemen;190891
2005;Diemen;216316
2006;Diemen;217613
2007;Diemen;255076
2008;Diemen;244920
2009;Diemen;237515
2010;Diemen;232877
2011;Diemen;230279
2012;Diemen;216781
2013;Diemen;216849
2014;Diemen;228815
2015;Diemen;182173
2016;Diemen;203591
2017;Diemen;242589
2018;Diemen;343525
2019;Diemen;389213
2020;Diemen;414599
2021;Diemen;465713
2022;Diemen;528144
2023;Diemen;510732
2024;Diemen;551601
1995;Diepenheim;88696
1996;Diepenheim;125302
1997;Diepenheim;110586
1998;Diepenheim;162728
1999;Diepenheim;197203
2000;Diepenheim;171241
2001;Diepenheim;
2002;Diepenheim;
2003;Diepenheim;
2004;Diepenheim;
2005;Diepenheim;
2006;Diepenheim;
2007;Diepenheim;
2008;Diepenheim;
2009;Diepenheim;
2010;Diepenheim;
2011;Diepenheim;
2012;Diepenheim;
2013;Diepenheim;
2014;Diepenheim;
2015;Diepenheim;
2016;Diepenheim;
2017;Diepenheim;
2018;Diepenheim;
2019;Diepenheim;
2020;Diepenheim;
2021;Diepenheim;
2022;Diepenheim;
2023;Diepenheim;
2024;Diepenheim;
1995;Diepenveen;126479
1996;Diepenveen;136120
1997;Diepenveen;127192
1998;Diepenveen;136639
1999;Diepenveen;
2000;Diepenveen;
2001;Diepenveen;
2002;Diepenveen;
2003;Diepenveen;
2004;Diepenveen;
2005;Diepenveen;
2006;Diepenveen;
2007;Diepenveen;
2008;Diepenveen;
2009;Diepenveen;
2010;Diepenveen;
2011;Diepenveen;
2012;Diepenveen;
2013;Diepenveen;
2014;Diepenveen;
2015;Diepenveen;
2016;Diepenveen;
2017;Diepenveen;
2018;Diepenveen;
2019;Diepenveen;
2020;Diepenveen;
2021;Diepenveen;
2022;Diepenveen;
2023;Diepenveen;
2024;Diepenveen;
1995;Diessen;121639
1996;Diessen;150406
1997;Diessen;
1998;Diessen;
1999;Diessen;
2000;Diessen;
2001;Diessen;
2002;Diessen;
2003;Diessen;
2004;Diessen;
2005;Diessen;
2006;Diessen;
2007;Diessen;
2008;Diessen;
2009;Diessen;
2010;Diessen;
2011;Diessen;
2012;Diessen;
2013;Diessen;
2014;Diessen;
2015;Diessen;
2016;Diessen;
2017;Diessen;
2018;Diessen;
2019;Diessen;
2020;Diessen;
2021;Diessen;
2022;Diessen;
2023;Diessen;
2024;Diessen;
1995;Diever;93724
1996;Diever;108028
1997;Diever;115902
1998;Diever;
1999;Diever;
2000;Diever;
2001;Diever;
2002;Diever;
2003;Diever;
2004;Diever;
2005;Diever;
2006;Diever;
2007;Diever;
2008;Diever;
2009;Diever;
2010;Diever;
2011;Diever;
2012;Diever;
2013;Diever;
2014;Diever;
2015;Diever;
2016;Diever;
2017;Diever;
2018;Diever;
2019;Diever;
2020;Diever;
2021;Diever;
2022;Diever;
2023;Diever;
2024;Diever;
1995;Dijk en Waard;
1996;Dijk en Waard;
1997;Dijk en Waard;
1998;Dijk en Waard;
1999;Dijk en Waard;
2000;Dijk en Waard;
2001;Dijk en Waard;
2002;Dijk en Waard;
2003;Dijk en Waard;
2004;Dijk en Waard;
2005;Dijk en Waard;
2006;Dijk en Waard;
2007;Dijk en Waard;
2008;Dijk en Waard;
2009;Dijk en Waard;
2010;Dijk en Waard;
2011;Dijk en Waard;
2012;Dijk en Waard;
2013;Dijk en Waard;
2014;Dijk en Waard;
2015;Dijk en Waard;
2016;Dijk en Waard;
2017;Dijk en Waard;
2018;Dijk en Waard;
2019;Dijk en Waard;
2020;Dijk en Waard;
2021;Dijk en Waard;
2022;Dijk en Waard;419589
2023;Dijk en Waard;401787
2024;Dijk en Waard;423626
1995;Dinkelland;
1996;Dinkelland;
1997;Dinkelland;
1998;Dinkelland;
1999;Dinkelland;
2000;Dinkelland;
2001;Dinkelland;
2002;Dinkelland;227114
2003;Dinkelland;241098
2004;Dinkelland;236101
2005;Dinkelland;239611
2006;Dinkelland;251468
2007;Dinkelland;249947
2008;Dinkelland;291662
2009;Dinkelland;249448
2010;Dinkelland;247427
2011;Dinkelland;245888
2012;Dinkelland;226679
2013;Dinkelland;207617
2014;Dinkelland;230390
2015;Dinkelland;219021
2016;Dinkelland;238500
2017;Dinkelland;252296
2018;Dinkelland;257647
2019;Dinkelland;279197
2020;Dinkelland;315526
2021;Dinkelland;343759
2022;Dinkelland;409307
2023;Dinkelland;396513
2024;Dinkelland;431948
1995;Dinteloord en Prinsenland;91799
1996;Dinteloord en Prinsenland;116820
1997;Dinteloord en Prinsenland;
1998;Dinteloord en Prinsenland;
1999;Dinteloord en Prinsenland;
2000;Dinteloord en Prinsenland;
2001;Dinteloord en Prinsenland;
2002;Dinteloord en Prinsenland;
2003;Dinteloord en Prinsenland;
2004;Dinteloord en Prinsenland;
2005;Dinteloord en Prinsenland;
2006;Dinteloord en Prinsenland;
2007;Dinteloord en Prinsenland;
2008;Dinteloord en Prinsenland;
2009;Dinteloord en Prinsenland;
2010;Dinteloord en Prinsenland;
2011;Dinteloord en Prinsenland;
2012;Dinteloord en Prinsenland;
2013;Dinteloord en Prinsenland;
2014;Dinteloord en Prinsenland;
2015;Dinteloord en Prinsenland;
2016;Dinteloord en Prinsenland;
2017;Dinteloord en Prinsenland;
2018;Dinteloord en Prinsenland;
2019;Dinteloord en Prinsenland;
2020;Dinteloord en Prinsenland;
2021;Dinteloord en Prinsenland;
2022;Dinteloord en Prinsenland;
2023;Dinteloord en Prinsenland;
2024;Dinteloord en Prinsenland;
1995;Dinxperlo;92546
1996;Dinxperlo;100598
1997;Dinxperlo;116377
1998;Dinxperlo;127319
1999;Dinxperlo;151307
2000;Dinxperlo;173874
2001;Dinxperlo;169721
2002;Dinxperlo;189598
2003;Dinxperlo;215696
2004;Dinxperlo;215432
2005;Dinxperlo;
2006;Dinxperlo;
2007;Dinxperlo;
2008;Dinxperlo;
2009;Dinxperlo;
2010;Dinxperlo;
2011;Dinxperlo;
2012;Dinxperlo;
2013;Dinxperlo;
2014;Dinxperlo;
2015;Dinxperlo;
2016;Dinxperlo;
2017;Dinxperlo;
2018;Dinxperlo;
2019;Dinxperlo;
2020;Dinxperlo;
2021;Dinxperlo;
2022;Dinxperlo;
2023;Dinxperlo;
2024;Dinxperlo;
1995;Dirksland;74620
1996;Dirksland;88778
1997;Dirksland;90678
1998;Dirksland;95677
1999;Dirksland;114487
2000;Dirksland;123657
2001;Dirksland;154867
2002;Dirksland;176623
2003;Dirksland;181678
2004;Dirksland;186759
2005;Dirksland;224250
2006;Dirksland;224076
2007;Dirksland;214803
2008;Dirksland;218358
2009;Dirksland;249527
2010;Dirksland;189120
2011;Dirksland;179615
2012;Dirksland;165943
2013;Dirksland;
2014;Dirksland;
2015;Dirksland;
2016;Dirksland;
2017;Dirksland;
2018;Dirksland;
2019;Dirksland;
2020;Dirksland;
2021;Dirksland;
2022;Dirksland;
2023;Dirksland;
2024;Dirksland;
1995;Dodewaard;114554
1996;Dodewaard;116899
1997;Dodewaard;137459
1998;Dodewaard;166504
1999;Dodewaard;181153
2000;Dodewaard;194833
2001;Dodewaard;250803
2002;Dodewaard;
2003;Dodewaard;
2004;Dodewaard;
2005;Dodewaard;
2006;Dodewaard;
2007;Dodewaard;
2008;Dodewaard;
2009;Dodewaard;
2010;Dodewaard;
2011;Dodewaard;
2012;Dodewaard;
2013;Dodewaard;
2014;Dodewaard;
2015;Dodewaard;
2016;Dodewaard;
2017;Dodewaard;
2018;Dodewaard;
2019;Dodewaard;
2020;Dodewaard;
2021;Dodewaard;
2022;Dodewaard;
2023;Dodewaard;
2024;Dodewaard;
1995;Doesburg;95587
1996;Doesburg;90232
1997;Doesburg;126319
1998;Doesburg;138894
1999;Doesburg;146261
2000;Doesburg;166228
2001;Doesburg;198090
2002;Doesburg;215891
2003;Doesburg;216248
2004;Doesburg;207742
2005;Doesburg;239278
2006;Doesburg;227883
2007;Doesburg;233155
2008;Doesburg;244104
2009;Doesburg;232849
2010;Doesburg;230851
2011;Doesburg;254440
2012;Doesburg;222345
2013;Doesburg;187533
2014;Doesburg;202903
2015;Doesburg;233048
2016;Doesburg;230431
2017;Doesburg;246640
2018;Doesburg;248587
2019;Doesburg;256299
2020;Doesburg;284787
2021;Doesburg;347257
2022;Doesburg;355044
2023;Doesburg;361938
2024;Doesburg;406835
1995;Doetinchem;107795
1996;Doetinchem;98848
1997;Doetinchem;115878
1998;Doetinchem;126803
1999;Doetinchem;138755
2000;Doetinchem;153495
2001;Doetinchem;180991
2002;Doetinchem;195394
2003;Doetinchem;201915
2004;Doetinchem;205284
2005;Doetinchem;210762
2006;Doetinchem;224141
2007;Doetinchem;237968
2008;Doetinchem;239108
2009;Doetinchem;229711
2010;Doetinchem;228798
2011;Doetinchem;225993
2012;Doetinchem;215306
2013;Doetinchem;209660
2014;Doetinchem;200148
2015;Doetinchem;210292
2016;Doetinchem;208543
2017;Doetinchem;226634
2018;Doetinchem;242343
2019;Doetinchem;256356
2020;Doetinchem;292285
2021;Doetinchem;331854
2022;Doetinchem;380704
2023;Doetinchem;366531
2024;Doetinchem;383133
1995;Domburg;117175
1996;Domburg;120840
1997;Domburg;
1998;Domburg;
1999;Domburg;
2000;Domburg;
2001;Domburg;
2002;Domburg;
2003;Domburg;
2004;Domburg;
2005;Domburg;
2006;Domburg;
2007;Domburg;
2008;Domburg;
2009;Domburg;
2010;Domburg;
2011;Domburg;
2012;Domburg;
2013;Domburg;
2014;Domburg;
2015;Domburg;
2016;Domburg;
2017;Domburg;
2018;Domburg;
2019;Domburg;
2020;Domburg;
2021;Domburg;
2022;Domburg;
2023;Domburg;
2024;Domburg;
1995;Dongen;104406
1996;Dongen;107383
1997;Dongen;121248
1998;Dongen;136209
1999;Dongen;153503
2000;Dongen;167237
2001;Dongen;218460
2002;Dongen;219766
2003;Dongen;238825
2004;Dongen;243004
2005;Dongen;247593
2006;Dongen;248336
2007;Dongen;267052
2008;Dongen;273555
2009;Dongen;265001
2010;Dongen;229702
2011;Dongen;224541
2012;Dongen;209924
2013;Dongen;201995
2014;Dongen;213406
2015;Dongen;231385
2016;Dongen;242023
2017;Dongen;248826
2018;Dongen;284523
2019;Dongen;289661
2020;Dongen;303641
2021;Dongen;355002
2022;Dongen;393422
2023;Dongen;407522
2024;Dongen;430579
1995;Dongeradeel;59817
1996;Dongeradeel;59434
1997;Dongeradeel;67442
1998;Dongeradeel;76496
1999;Dongeradeel;87495
2000;Dongeradeel;99775
2001;Dongeradeel;120181
2002;Dongeradeel;136315
2003;Dongeradeel;145025
2004;Dongeradeel;153029
2005;Dongeradeel;158108
2006;Dongeradeel;169446
2007;Dongeradeel;174326
2008;Dongeradeel;178035
2009;Dongeradeel;168934
2010;Dongeradeel;178861
2011;Dongeradeel;164717
2012;Dongeradeel;163037
2013;Dongeradeel;155035
2014;Dongeradeel;153324
2015;Dongeradeel;161799
2016;Dongeradeel;165522
2017;Dongeradeel;181244
2018;Dongeradeel;186735
2019;Dongeradeel;
2020;Dongeradeel;
2021;Dongeradeel;
2022;Dongeradeel;
2023;Dongeradeel;
2024;Dongeradeel;
1995;Doorn;133545
1996;Doorn;172878
1997;Doorn;167034
1998;Doorn;193915
1999;Doorn;240827
2000;Doorn;268353
2001;Doorn;320871
2002;Doorn;310748
2003;Doorn;309881
2004;Doorn;332027
2005;Doorn;357203
2006;Doorn;
2007;Doorn;
2008;Doorn;
2009;Doorn;
2010;Doorn;
2011;Doorn;
2012;Doorn;
2013;Doorn;
2014;Doorn;
2015;Doorn;
2016;Doorn;
2017;Doorn;
2018;Doorn;
2019;Doorn;
2020;Doorn;
2021;Doorn;
2022;Doorn;
2023;Doorn;
2024;Doorn;
1995;Dordrecht;72146
1996;Dordrecht;83851
1997;Dordrecht;92102
1998;Dordrecht;102507
1999;Dordrecht;114409
2000;Dordrecht;129720
2001;Dordrecht;141015
2002;Dordrecht;154281
2003;Dordrecht;158382
2004;Dordrecht;165820
2005;Dordrecht;174450
2006;Dordrecht;186576
2007;Dordrecht;189879
2008;Dordrecht;200833
2009;Dordrecht;186561
2010;Dordrecht;188588
2011;Dordrecht;183434
2012;Dordrecht;180984
2013;Dordrecht;167211
2014;Dordrecht;178188
2015;Dordrecht;185369
2016;Dordrecht;184287
2017;Dordrecht;200733
2018;Dordrecht;218882
2019;Dordrecht;237053
2020;Dordrecht;258874
2021;Dordrecht;299241
2022;Dordrecht;344193
2023;Dordrecht;337051
2024;Dordrecht;362740
1995;Drechterland;93879
1996;Drechterland;98274
1997;Drechterland;100970
1998;Drechterland;129484
1999;Drechterland;149393
2000;Drechterland;197524
2001;Drechterland;205231
2002;Drechterland;214164
2003;Drechterland;203461
2004;Drechterland;218827
2005;Drechterland;223128
2006;Drechterland;265374
2007;Drechterland;250898
2008;Drechterland;260705
2009;Drechterland;256784
2010;Drechterland;255550
2011;Drechterland;228525
2012;Drechterland;226507
2013;Drechterland;204280
2014;Drechterland;209928
2015;Drechterland;234680
2016;Drechterland;235351
2017;Drechterland;267955
2018;Drechterland;282309
2019;Drechterland;316459
2020;Drechterland;337315
2021;Drechterland;390248
2022;Drechterland;434175
2023;Drechterland;443472
2024;Drechterland;465461
1995;Driebergen-Rijsenburg;131649
1996;Driebergen-Rijsenburg;142905
1997;Driebergen-Rijsenburg;186353
1998;Driebergen-Rijsenburg;207215
1999;Driebergen-Rijsenburg;240399
2000;Driebergen-Rijsenburg;301825
2001;Driebergen-Rijsenburg;288838
2002;Driebergen-Rijsenburg;300991
2003;Driebergen-Rijsenburg;295870
2004;Driebergen-Rijsenburg;340828
2005;Driebergen-Rijsenburg;368330
2006;Driebergen-Rijsenburg;
2007;Driebergen-Rijsenburg;
2008;Driebergen-Rijsenburg;
2009;Driebergen-Rijsenburg;
2010;Driebergen-Rijsenburg;
2011;Driebergen-Rijsenburg;
2012;Driebergen-Rijsenburg;
2013;Driebergen-Rijsenburg;
2014;Driebergen-Rijsenburg;
2015;Driebergen-Rijsenburg;
2016;Driebergen-Rijsenburg;
2017;Driebergen-Rijsenburg;
2018;Driebergen-Rijsenburg;
2019;Driebergen-Rijsenburg;
2020;Driebergen-Rijsenburg;
2021;Driebergen-Rijsenburg;
2022;Driebergen-Rijsenburg;
2023;Driebergen-Rijsenburg;
2024;Driebergen-Rijsenburg;
1995;Drimmelen;
1996;Drimmelen;
1997;Drimmelen;
1998;Drimmelen;148910
1999;Drimmelen;174635
2000;Drimmelen;196105
2001;Drimmelen;216817
2002;Drimmelen;238355
2003;Drimmelen;235031
2004;Drimmelen;249303
2005;Drimmelen;245494
2006;Drimmelen;268677
2007;Drimmelen;288307
2008;Drimmelen;301120
2009;Drimmelen;261498
2010;Drimmelen;257163
2011;Drimmelen;261777
2012;Drimmelen;244737
2013;Drimmelen;219071
2014;Drimmelen;227566
2015;Drimmelen;234528
2016;Drimmelen;244228
2017;Drimmelen;273581
2018;Drimmelen;279697
2019;Drimmelen;289554
2020;Drimmelen;300345
2021;Drimmelen;372230
2022;Drimmelen;412094
2023;Drimmelen;404271
2024;Drimmelen;427898
1995;Dronten;110116
1996;Dronten;114740
1997;Dronten;114127
1998;Dronten;125371
1999;Dronten;145569
2000;Dronten;218373
2001;Dronten;174264
2002;Dronten;206154
2003;Dronten;214569
2004;Dronten;220890
2005;Dronten;221999
2006;Dronten;230807
2007;Dronten;230743
2008;Dronten;247425
2009;Dronten;227981
2010;Dronten;220287
2011;Dronten;228284
2012;Dronten;215203
2013;Dronten;195161
2014;Dronten;197724
2015;Dronten;212987
2016;Dronten;215670
2017;Dronten;230916
2018;Dronten;240688
2019;Dronten;255563
2020;Dronten;288202
2021;Dronten;328945
2022;Dronten;380735
2023;Dronten;391106
2024;Dronten;390496
1995;Drunen;103433
1996;Drunen;101841
1997;Drunen;
1998;Drunen;
1999;Drunen;
2000;Drunen;
2001;Drunen;
2002;Drunen;
2003;Drunen;
2004;Drunen;
2005;Drunen;
2006;Drunen;
2007;Drunen;
2008;Drunen;
2009;Drunen;
2010;Drunen;
2011;Drunen;
2012;Drunen;
2013;Drunen;
2014;Drunen;
2015;Drunen;
2016;Drunen;
2017;Drunen;
2018;Drunen;
2019;Drunen;
2020;Drunen;
2021;Drunen;
2022;Drunen;
2023;Drunen;
2024;Drunen;
1995;Druten;93913
1996;Druten;110885
1997;Druten;124286
1998;Druten;143709
1999;Druten;143408
2000;Druten;187389
2001;Druten;211038
2002;Druten;218753
2003;Druten;234732
2004;Druten;242409
2005;Druten;260043
2006;Druten;253180
2007;Druten;284809
2008;Druten;283611
2009;Druten;254817
2010;Druten;239340
2011;Druten;268145
2012;Druten;221112
2013;Druten;217721
2014;Druten;215454
2015;Druten;228096
2016;Druten;218829
2017;Druten;251976
2018;Druten;265559
2019;Druten;285068
2020;Druten;310627
2021;Druten;368074
2022;Druten;407969
2023;Druten;393365
2024;Druten;437321
1995;Duiveland;77745
1996;Duiveland;84788
1997;Duiveland;
1998;Duiveland;
1999;Duiveland;
2000;Duiveland;
2001;Duiveland;
2002;Duiveland;
2003;Duiveland;
2004;Duiveland;
2005;Duiveland;
2006;Duiveland;
2007;Duiveland;
2008;Duiveland;
2009;Duiveland;
2010;Duiveland;
2011;Duiveland;
2012;Duiveland;
2013;Duiveland;
2014;Duiveland;
2015;Duiveland;
2016;Duiveland;
2017;Duiveland;
2018;Duiveland;
2019;Duiveland;
2020;Duiveland;
2021;Duiveland;
2022;Duiveland;
2023;Duiveland;
2024;Duiveland;
1995;Duiven;93567
1996;Duiven;107814
1997;Duiven;119775
1998;Duiven;136679
1999;Duiven;151413
2000;Duiven;176307
2001;Duiven;198998
2002;Duiven;206235
2003;Duiven;210460
2004;Duiven;220199
2005;Duiven;225399
2006;Duiven;236818
2007;Duiven;230654
2008;Duiven;237374
2009;Duiven;220802
2010;Duiven;230024
2011;Duiven;212817
2012;Duiven;204080
2013;Duiven;195300
2014;Duiven;197460
2015;Duiven;217551
2016;Duiven;214458
2017;Duiven;234145
2018;Duiven;242473
2019;Duiven;267400
2020;Duiven;285676
2021;Duiven;356087
2022;Duiven;364887
2023;Duiven;378523
2024;Duiven;422481
1995;Den Dungen;118903
1996;Den Dungen;
1997;Den Dungen;
1998;Den Dungen;
1999;Den Dungen;
2000;Den Dungen;
2001;Den Dungen;
2002;Den Dungen;
2003;Den Dungen;
2004;Den Dungen;
2005;Den Dungen;
2006;Den Dungen;
2007;Den Dungen;
2008;Den Dungen;
2009;Den Dungen;
2010;Den Dungen;
2011;Den Dungen;
2012;Den Dungen;
2013;Den Dungen;
2014;Den Dungen;
2015;Den Dungen;
2016;Den Dungen;
2017;Den Dungen;
2018;Den Dungen;
2019;Den Dungen;
2020;Den Dungen;
2021;Den Dungen;
2022;Den Dungen;
2023;Den Dungen;
2024;Den Dungen;
1995;Dussen;111267
1996;Dussen;115058
1997;Dussen;
1998;Dussen;
1999;Dussen;
2000;Dussen;
2001;Dussen;
2002;Dussen;
2003;Dussen;
2004;Dussen;
2005;Dussen;
2006;Dussen;
2007;Dussen;
2008;Dussen;
2009;Dussen;
2010;Dussen;
2011;Dussen;
2012;Dussen;
2013;Dussen;
2014;Dussen;
2015;Dussen;
2016;Dussen;
2017;Dussen;
2018;Dussen;
2019;Dussen;
2020;Dussen;
2021;Dussen;
2022;Dussen;
2023;Dussen;
2024;Dussen;
1995;Dwingeloo;106029
1996;Dwingeloo;107556
1997;Dwingeloo;120561
1998;Dwingeloo;
1999;Dwingeloo;
2000;Dwingeloo;
2001;Dwingeloo;
2002;Dwingeloo;
2003;Dwingeloo;
2004;Dwingeloo;
2005;Dwingeloo;
2006;Dwingeloo;
2007;Dwingeloo;
2008;Dwingeloo;
2009;Dwingeloo;
2010;Dwingeloo;
2011;Dwingeloo;
2012;Dwingeloo;
2013;Dwingeloo;
2014;Dwingeloo;
2015;Dwingeloo;
2016;Dwingeloo;
2017;Dwingeloo;
2018;Dwingeloo;
2019;Dwingeloo;
2020;Dwingeloo;
2021;Dwingeloo;
2022;Dwingeloo;
2023;Dwingeloo;
2024;Dwingeloo;
1995;Echt;91650
1996;Echt;94830
1997;Echt;101719
1998;Echt;118367
1999;Echt;124468
2000;Echt;145973
2001;Echt;171260
2002;Echt;167991
2003;Echt;
2004;Echt;
2005;Echt;
2006;Echt;
2007;Echt;
2008;Echt;
2009;Echt;
2010;Echt;
2011;Echt;
2012;Echt;
2013;Echt;
2014;Echt;
2015;Echt;
2016;Echt;
2017;Echt;
2018;Echt;
2019;Echt;
2020;Echt;
2021;Echt;
2022;Echt;
2023;Echt;
2024;Echt;
1995;Echteld;111430
1996;Echteld;114926
1997;Echteld;125141
1998;Echteld;151974
1999;Echteld;169209
2000;Echteld;190236
2001;Echteld;228080
2002;Echteld;
2003;Echteld;
2004;Echteld;
2005;Echteld;
2006;Echteld;
2007;Echteld;
2008;Echteld;
2009;Echteld;
2010;Echteld;
2011;Echteld;
2012;Echteld;
2013;Echteld;
2014;Echteld;
2015;Echteld;
2016;Echteld;
2017;Echteld;
2018;Echteld;
2019;Echteld;
2020;Echteld;
2021;Echteld;
2022;Echteld;
2023;Echteld;
2024;Echteld;
1995;Echt-Susteren;
1996;Echt-Susteren;
1997;Echt-Susteren;
1998;Echt-Susteren;
1999;Echt-Susteren;
2000;Echt-Susteren;
2001;Echt-Susteren;
2002;Echt-Susteren;
2003;Echt-Susteren;180137
2004;Echt-Susteren;186292
2005;Echt-Susteren;184311
