"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"1997";"Landerd";"     201"
"1998";"Landerd";"     202"
"1999";"Landerd";"     203"
"2000";"Landerd";"     203"
"2001";"Landerd";"     204"
"2002";"Landerd";"     206"
"2003";"Landerd";"     209"
"2004";"Landerd";"     210"
"2005";"Landerd";"     211"
"2006";"Landerd";"     210"
"2007";"Landerd";"     209"
"2008";"Landerd";"     210"
"2009";"Landerd";"     210"
"2010";"Landerd";"     212"
"2011";"Landerd";"     212"
"2012";"Landerd";"     214"
"2013";"Landerd";"     216"
"2014";"Landerd";"     217"
"2015";"Landerd";"     217"
"2016";"Landerd";"     217"
"2017";"Landerd";"     218"
"2018";"Landerd";"     218"
"2019";"Landerd";"     221"
"2020";"Landerd";"     224"
"2021";"Landerd";"     225"
"2022";"Landerd";""
"2023";"Landerd";""
"2024";"Landerd";""
"2025";"Landerd";""
"1995";"Landgraaf";"    1668"
"1996";"Landgraaf";"    1686"
"1997";"Landgraaf";"    1684"
"1998";"Landgraaf";"    1687"
"1999";"Landgraaf";"    1678"
"2000";"Landgraaf";"    1664"
"2001";"Landgraaf";"    1654"
"2002";"Landgraaf";"    1637"
"2003";"Landgraaf";"    1628"
"2004";"Landgraaf";"    1617"
"2005";"Landgraaf";"    1605"
"2006";"Landgraaf";"    1593"
"2007";"Landgraaf";"    1580"
"2008";"Landgraaf";"    1575"
"2009";"Landgraaf";"    1574"
"2010";"Landgraaf";"    1563"
"2011";"Landgraaf";"    1553"
"2012";"Landgraaf";"    1549"
"2013";"Landgraaf";"    1542"
"2014";"Landgraaf";"    1528"
"2015";"Landgraaf";"    1524"
"2016";"Landgraaf";"    1524"
"2017";"Landgraaf";"    1524"
"2018";"Landgraaf";"    1530"
"2019";"Landgraaf";"    1529"
"2020";"Landgraaf";"    1523"
"2021";"Landgraaf";"    1516"
"2022";"Landgraaf";"    1506"
"2023";"Landgraaf";"    1512"
"2024";"Landgraaf";"    1510"
"2025";"Landgraaf";""
"1995";"Landsmeer";"     437"
"1996";"Landsmeer";"     439"
"1997";"Landsmeer";"     462"
"1998";"Landsmeer";"     460"
"1999";"Landsmeer";"     459"
"2000";"Landsmeer";"     456"
"2001";"Landsmeer";"     455"
"2002";"Landsmeer";"     457"
"2003";"Landsmeer";"     459"
"2004";"Landsmeer";"     458"
"2005";"Landsmeer";"     456"
"2006";"Landsmeer";"     456"
"2007";"Landsmeer";"     455"
"2008";"Landsmeer";"     451"
"2009";"Landsmeer";"     450"
"2010";"Landsmeer";"     454"
"2011";"Landsmeer";"     454"
"2012";"Landsmeer";"     458"
"2013";"Landsmeer";"     464"
"2014";"Landsmeer";"     463"
"2015";"Landsmeer";"     480"
"2016";"Landsmeer";"     487"
"2017";"Landsmeer";"     501"
"2018";"Landsmeer";"     508"
"2019";"Landsmeer";"     510"
"2020";"Landsmeer";"     510"
"2021";"Landsmeer";"     513"
"2022";"Landsmeer";"     515"
"2023";"Landsmeer";"     522"
"2024";"Landsmeer";"     520"
"2025";"Landsmeer";""
"1995";"Langbroek";"     118"
"1996";"Langbroek";""
"1997";"Langbroek";""
"1998";"Langbroek";""
"1999";"Langbroek";""
"2000";"Langbroek";""
"2001";"Langbroek";""
"2002";"Langbroek";""
"2003";"Langbroek";""
"2004";"Langbroek";""
"2005";"Langbroek";""
"2006";"Langbroek";""
"2007";"Langbroek";""
"2008";"Langbroek";""
"2009";"Langbroek";""
"2010";"Langbroek";""
"2011";"Langbroek";""
"2012";"Langbroek";""
"2013";"Langbroek";""
"2014";"Langbroek";""
"2015";"Langbroek";""
"2016";"Langbroek";""
"2017";"Langbroek";""
"2018";"Langbroek";""
"2019";"Langbroek";""
"2020";"Langbroek";""
"2021";"Langbroek";""
"2022";"Langbroek";""
"2023";"Langbroek";""
"2024";"Langbroek";""
"2025";"Langbroek";""
"1995";"Langedijk";"     871"
"1996";"Langedijk";"     873"
"1997";"Langedijk";"     882"
"1998";"Langedijk";"     922"
"1999";"Langedijk";"     938"
"2000";"Langedijk";"     942"
"2001";"Langedijk";"     962"
"2002";"Langedijk";"     983"
"2003";"Langedijk";"    1036"
"2004";"Langedijk";"    1047"
"2005";"Langedijk";"    1074"
"2006";"Langedijk";"    1078"
"2007";"Langedijk";"    1078"
"2008";"Langedijk";"    1083"
"2009";"Langedijk";"    1118"
"2010";"Langedijk";"    1121"
"2011";"Langedijk";"    1123"
"2012";"Langedijk";"    1123"
"2013";"Langedijk";"    1122"
"2014";"Langedijk";"    1123"
"2015";"Langedijk";"    1138"
"2016";"Langedijk";"    1149"
"2017";"Langedijk";"    1155"
"2018";"Langedijk";"    1165"
"2019";"Langedijk";"    1172"
"2020";"Langedijk";"    1179"
"2021";"Langedijk";"    1186"
"2022";"Langedijk";""
"2023";"Langedijk";""
"2024";"Langedijk";""
"2025";"Langedijk";""
"1995";"Lansingerland";""
"1996";"Lansingerland";""
"1997";"Lansingerland";""
"1998";"Lansingerland";""
"1999";"Lansingerland";""
"2000";"Lansingerland";""
"2001";"Lansingerland";""
"2002";"Lansingerland";""
"2003";"Lansingerland";""
"2004";"Lansingerland";""
"2005";"Lansingerland";""
"2006";"Lansingerland";""
"2007";"Lansingerland";"     880"
"2008";"Lansingerland";"     907"
"2009";"Lansingerland";"     940"
"2010";"Lansingerland";"     969"
"2011";"Lansingerland";"     997"
"2012";"Lansingerland";"    1018"
"2013";"Lansingerland";"    1041"
"2014";"Lansingerland";"    1053"
"2015";"Lansingerland";"    1071"
"2016";"Lansingerland";"    1090"
"2017";"Lansingerland";"    1109"
"2018";"Lansingerland";"    1145"
"2019";"Lansingerland";"    1153"
"2020";"Lansingerland";"    1168"
"2021";"Lansingerland";"    1186"
"2022";"Lansingerland";"    1203"
"2023";"Lansingerland";"    1216"
"2024";"Lansingerland";"    1231"
"2025";"Lansingerland";""
"1995";"Laren (NH.)";"     954"
"1996";"Laren (NH.)";"     956"
"1997";"Laren (NH.)";"     975"
"1998";"Laren (NH.)";"     956"
"1999";"Laren (NH.)";"     946"
"2000";"Laren (NH.)";"     949"
"2001";"Laren (NH.)";"     945"
"2002";"Laren (NH.)";"     972"
"2003";"Laren (NH.)";"     955"
"2004";"Laren (NH.)";"     949"
"2005";"Laren (NH.)";"     940"
"2006";"Laren (NH.)";"     901"
"2007";"Laren (NH.)";"     899"
"2008";"Laren (NH.)";"     897"
"2009";"Laren (NH.)";"     945"
"2010";"Laren (NH.)";"     923"
"2011";"Laren (NH.)";"     920"
"2012";"Laren (NH.)";"     915"
"2013";"Laren (NH.)";"     877"
"2014";"Laren (NH.)";"     875"
"2015";"Laren (NH.)";"     875"
"2016";"Laren (NH.)";"     883"
"2017";"Laren (NH.)";"     893"
"2018";"Laren (NH.)";"     898"
"2019";"Laren (NH.)";"     902"
"2020";"Laren (NH.)";"     909"
"2021";"Laren (NH.)";"     918"
"2022";"Laren (NH.)";"     929"
"2023";"Laren (NH.)";"     944"
"2024";"Laren (NH.)";"     922"
"2025";"Laren (NH.)";""
"1995";"Leek";"     286"
"1996";"Leek";"     286"
"1997";"Leek";"     291"
"1998";"Leek";"     293"
"1999";"Leek";"     294"
"2000";"Leek";"     296"
"2001";"Leek";"     299"
"2002";"Leek";"     304"
"2003";"Leek";"     304"
"2004";"Leek";"     306"
"2005";"Leek";"     307"
"2006";"Leek";"     299"
"2007";"Leek";"     303"
"2008";"Leek";"     305"
"2009";"Leek";"     307"
"2010";"Leek";"     306"
"2011";"Leek";"     305"
"2012";"Leek";"     307"
"2013";"Leek";"     310"
"2014";"Leek";"     310"
"2015";"Leek";"     308"
"2016";"Leek";"     309"
"2017";"Leek";"     311"
"2018";"Leek";"     311"
"2019";"Leek";""
"2020";"Leek";""
"2021";"Leek";""
"2022";"Leek";""
"2023";"Leek";""
"2024";"Leek";""
"2025";"Leek";""
"1995";"Leende";"     101"
"1996";"Leende";"     101"
"1997";"Leende";""
"1998";"Leende";""
"1999";"Leende";""
"2000";"Leende";""
"2001";"Leende";""
"2002";"Leende";""
"2003";"Leende";""
"2004";"Leende";""
"2005";"Leende";""
"2006";"Leende";""
"2007";"Leende";""
"2008";"Leende";""
"2009";"Leende";""
"2010";"Leende";""
"2011";"Leende";""
"2012";"Leende";""
"2013";"Leende";""
"2014";"Leende";""
"2015";"Leende";""
"2016";"Leende";""
"2017";"Leende";""
"2018";"Leende";""
"2019";"Leende";""
"2020";"Leende";""
"2021";"Leende";""
"2022";"Leende";""
"2023";"Leende";""
"2024";"Leende";""
"2025";"Leende";""
"1995";"Leerdam";"     611"
"1996";"Leerdam";"     615"
"1997";"Leerdam";"     615"
"1998";"Leerdam";"     616"
"1999";"Leerdam";"     616"
"2000";"Leerdam";"     615"
"2001";"Leerdam";"     620"
"2002";"Leerdam";"     624"
"2003";"Leerdam";"     624"
"2004";"Leerdam";"     623"
"2005";"Leerdam";"     620"
"2006";"Leerdam";"     616"
"2007";"Leerdam";"     612"
"2008";"Leerdam";"     610"
"2009";"Leerdam";"     614"
"2010";"Leerdam";"     614"
"2011";"Leerdam";"     612"
"2012";"Leerdam";"     612"
"2013";"Leerdam";"     613"
"2014";"Leerdam";"     609"
"2015";"Leerdam";"     609"
"2016";"Leerdam";"     613"
"2017";"Leerdam";"     619"
"2018";"Leerdam";"     623"
"2019";"Leerdam";""
"2020";"Leerdam";""
"2021";"Leerdam";""
"2022";"Leerdam";""
"2023";"Leerdam";""
"2024";"Leerdam";""
"2025";"Leerdam";""
"1995";"Leersum";"     233"
"1996";"Leersum";"     234"
"1997";"Leersum";"     239"
"1998";"Leersum";"     241"
"1999";"Leersum";"     242"
"2000";"Leersum";"     244"
"2001";"Leersum";"     246"
"2002";"Leersum";"     247"
"2003";"Leersum";"     249"
"2004";"Leersum";"     251"
"2005";"Leersum";"     257"
"2006";"Leersum";""
"2007";"Leersum";""
"2008";"Leersum";""
"2009";"Leersum";""
"2010";"Leersum";""
"2011";"Leersum";""
"2012";"Leersum";""
"2013";"Leersum";""
"2014";"Leersum";""
"2015";"Leersum";""
"2016";"Leersum";""
"2017";"Leersum";""
"2018";"Leersum";""
"2019";"Leersum";""
"2020";"Leersum";""
"2021";"Leersum";""
"2022";"Leersum";""
"2023";"Leersum";""
"2024";"Leersum";""
"2025";"Leersum";""
"1995";"Leeuwarden";"    1089"
"1996";"Leeuwarden";"    1092"
"1997";"Leeuwarden";"    1096"
"1998";"Leeuwarden";"    1096"
"1999";"Leeuwarden";"    1099"
"2000";"Leeuwarden";"    1108"
"2001";"Leeuwarden";"    1115"
"2002";"Leeuwarden";"    1128"
"2003";"Leeuwarden";"    1145"
"2004";"Leeuwarden";"    1146"
"2005";"Leeuwarden";"    1151"
"2006";"Leeuwarden";"    1160"
"2007";"Leeuwarden";"    1167"
"2008";"Leeuwarden";"    1173"
"2009";"Leeuwarden";"    1182"
"2010";"Leeuwarden";"    1189"
"2011";"Leeuwarden";"    1202"
"2012";"Leeuwarden";"    1208"
"2013";"Leeuwarden";"    1219"
"2014";"Leeuwarden";"     695"
"2015";"Leeuwarden";"     697"
"2016";"Leeuwarden";"     699"
"2017";"Leeuwarden";"     704"
"2018";"Leeuwarden";"     514"
"2019";"Leeuwarden";"     516"
"2020";"Leeuwarden";"     521"
"2021";"Leeuwarden";"     523"
"2022";"Leeuwarden";"     528"
"2023";"Leeuwarden";"     535"
"2024";"Leeuwarden";"     542"
"2025";"Leeuwarden";""
"1995";"Leeuwarderadeel";"     237"
"1996";"Leeuwarderadeel";"     245"
"1997";"Leeuwarderadeel";"     245"
"1998";"Leeuwarderadeel";"     250"
"1999";"Leeuwarderadeel";"     254"
"2000";"Leeuwarderadeel";"     259"
"2001";"Leeuwarderadeel";"     261"
"2002";"Leeuwarderadeel";"     261"
"2003";"Leeuwarderadeel";"     261"
"2004";"Leeuwarderadeel";"     260"
"2005";"Leeuwarderadeel";"     258"
"2006";"Leeuwarderadeel";"     257"
"2007";"Leeuwarderadeel";"     255"
"2008";"Leeuwarderadeel";"     255"
"2009";"Leeuwarderadeel";"     254"
"2010";"Leeuwarderadeel";"     256"
"2011";"Leeuwarderadeel";"     254"
"2012";"Leeuwarderadeel";"     253"
"2013";"Leeuwarderadeel";"     252"
"2014";"Leeuwarderadeel";"     251"
"2015";"Leeuwarderadeel";"     250"
"2016";"Leeuwarderadeel";"     249"
"2017";"Leeuwarderadeel";"     247"
"2018";"Leeuwarderadeel";""
"2019";"Leeuwarderadeel";""
"2020";"Leeuwarderadeel";""
"2021";"Leeuwarderadeel";""
"2022";"Leeuwarderadeel";""
"2023";"Leeuwarderadeel";""
"2024";"Leeuwarderadeel";""
"2025";"Leeuwarderadeel";""
"1995";"Leiden";"    5224"
"1996";"Leiden";"    5260"
"1997";"Leiden";"    5282"
"1998";"Leiden";"    5279"
"1999";"Leiden";"    5297"
"2000";"Leiden";"    5288"
"2001";"Leiden";"    5280"
"2002";"Leiden";"    5287"
"2003";"Leiden";"    5351"
"2004";"Leiden";"    5397"
"2005";"Leiden";"    5391"
"2006";"Leiden";"    5379"
"2007";"Leiden";"    5352"
"2008";"Leiden";"    5324"
"2009";"Leiden";"    5343"
"2010";"Leiden";"    5358"
"2011";"Leiden";"    5371"
"2012";"Leiden";"    5409"
"2013";"Leiden";"    5462"
"2014";"Leiden";"    5524"
"2015";"Leiden";"    5542"
"2016";"Leiden";"    5580"
"2017";"Leiden";"    5630"
"2018";"Leiden";"    5674"
"2019";"Leiden";"    5701"
"2020";"Leiden";"    5710"
"2021";"Leiden";"    5664"
"2022";"Leiden";"    5724"
"2023";"Leiden";"    5816"
"2024";"Leiden";"    5954"
"2025";"Leiden";""
"1995";"Leiderdorp";"    2025"
"1996";"Leiderdorp";"    2007"
"1997";"Leiderdorp";"    2008"
"1998";"Leiderdorp";"    2048"
"1999";"Leiderdorp";"    2110"
"2000";"Leiderdorp";"    2160"
"2001";"Leiderdorp";"    2237"
"2002";"Leiderdorp";"    2283"
"2003";"Leiderdorp";"    2277"
"2004";"Leiderdorp";"    2258"
"2005";"Leiderdorp";"    2230"
"2006";"Leiderdorp";"    2218"
"2007";"Leiderdorp";"    2226"
"2008";"Leiderdorp";"    2251"
"2009";"Leiderdorp";"    2267"
"2010";"Leiderdorp";"    2264"
"2011";"Leiderdorp";"    2304"
"2012";"Leiderdorp";"    2313"
"2013";"Leiderdorp";"    2315"
"2014";"Leiderdorp";"    2321"
"2015";"Leiderdorp";"    2325"
"2016";"Leiderdorp";"    2335"
"2017";"Leiderdorp";"    2349"
"2018";"Leiderdorp";"    2350"
"2019";"Leiderdorp";"    2342"
"2020";"Leiderdorp";"    2337"
"2021";"Leiderdorp";"    2365"
"2022";"Leiderdorp";"    2389"
"2023";"Leiderdorp";"    2406"
"2024";"Leiderdorp";"    2413"
"2025";"Leiderdorp";""
"1995";"Leidschendam";"     977"
"1996";"Leidschendam";"     981"
"1997";"Leidschendam";"     964"
"1998";"Leidschendam";"     968"
"1999";"Leidschendam";"    1013"
"2000";"Leidschendam";"    1045"
"2001";"Leidschendam";"    1104"
"2002";"Leidschendam";""
"2003";"Leidschendam";""
"2004";"Leidschendam";""
"2005";"Leidschendam";""
"2006";"Leidschendam";""
"2007";"Leidschendam";""
"2008";"Leidschendam";""
"2009";"Leidschendam";""
"2010";"Leidschendam";""
"2011";"Leidschendam";""
"2012";"Leidschendam";""
"2013";"Leidschendam";""
"2014";"Leidschendam";""
"2015";"Leidschendam";""
"2016";"Leidschendam";""
"2017";"Leidschendam";""
"2018";"Leidschendam";""
"2019";"Leidschendam";""
"2020";"Leidschendam";""
"2021";"Leidschendam";""
"2022";"Leidschendam";""
"2023";"Leidschendam";""
"2024";"Leidschendam";""
"2025";"Leidschendam";""
"1995";"Leidschendam-Voorburg";""
"1996";"Leidschendam-Voorburg";""
"1997";"Leidschendam-Voorburg";""
"1998";"Leidschendam-Voorburg";""
"1999";"Leidschendam-Voorburg";""
"2000";"Leidschendam-Voorburg";""
"2001";"Leidschendam-Voorburg";""
"2002";"Leidschendam-Voorburg";"    2191"
"2003";"Leidschendam-Voorburg";"    2248"
"2004";"Leidschendam-Voorburg";"    2251"
"2005";"Leidschendam-Voorburg";"    2249"
"2006";"Leidschendam-Voorburg";"    2229"
"2007";"Leidschendam-Voorburg";"    2221"
"2008";"Leidschendam-Voorburg";"    2222"
"2009";"Leidschendam-Voorburg";"    2219"
"2010";"Leidschendam-Voorburg";"    2202"
"2011";"Leidschendam-Voorburg";"    2204"
"2012";"Leidschendam-Voorburg";"    2214"
"2013";"Leidschendam-Voorburg";"    2222"
"2014";"Leidschendam-Voorburg";"    2245"
"2015";"Leidschendam-Voorburg";"    2264"
"2016";"Leidschendam-Voorburg";"    2275"
"2017";"Leidschendam-Voorburg";"    2286"
"2018";"Leidschendam-Voorburg";"    2302"
"2019";"Leidschendam-Voorburg";"    2317"
"2020";"Leidschendam-Voorburg";"    2351"
"2021";"Leidschendam-Voorburg";"    2348"
"2022";"Leidschendam-Voorburg";"    2351"
"2023";"Leidschendam-Voorburg";"    2384"
"2024";"Leidschendam-Voorburg";"    2399"
"2025";"Leidschendam-Voorburg";""
"1995";"Lelystad";"     254"
"1996";"Lelystad";"     253"
"1997";"Lelystad";"     256"
"1998";"Lelystad";"     258"
"1999";"Lelystad";"     261"
"2000";"Lelystad";"     268"
"2001";"Lelystad";"     275"
"2002";"Lelystad";"     282"
"2003";"Lelystad";"     293"
"2004";"Lelystad";"     297"
"2005";"Lelystad";"     303"
"2006";"Lelystad";"     307"
"2007";"Lelystad";"     310"
"2008";"Lelystad";"     314"
"2009";"Lelystad";"     319"
"2010";"Lelystad";"     322"
"2011";"Lelystad";"     324"
"2012";"Lelystad";"     325"
"2013";"Lelystad";"     328"
"2014";"Lelystad";"     329"
"2015";"Lelystad";"     331"
"2016";"Lelystad";"     333"
"2017";"Lelystad";"     334"
"2018";"Lelystad";"     336"
"2019";"Lelystad";"     338"
"2020";"Lelystad";"     341"
"2021";"Lelystad";"     347"
"2022";"Lelystad";"     355"
"2023";"Lelystad";"     363"
"2024";"Lelystad";"     367"
"2025";"Lelystad";""
"1995";"Lemsterland";"     155"
"1996";"Lemsterland";"     155"
"1997";"Lemsterland";"     156"
"1998";"Lemsterland";"     160"
"1999";"Lemsterland";"     163"
"2000";"Lemsterland";"     165"
"2001";"Lemsterland";"     166"
"2002";"Lemsterland";"     169"
"2003";"Lemsterland";"     174"
"2004";"Lemsterland";"     175"
"2005";"Lemsterland";"     176"
"2006";"Lemsterland";"     176"
"2007";"Lemsterland";"     176"
"2008";"Lemsterland";"     176"
"2009";"Lemsterland";"     178"
"2010";"Lemsterland";"     179"
"2011";"Lemsterland";"     179"
"2012";"Lemsterland";"     179"
"2013";"Lemsterland";"     179"
"2014";"Lemsterland";""
"2015";"Lemsterland";""
"2016";"Lemsterland";""
"2017";"Lemsterland";""
"2018";"Lemsterland";""
"2019";"Lemsterland";""
"2020";"Lemsterland";""
"2021";"Lemsterland";""
"2022";"Lemsterland";""
"2023";"Lemsterland";""
"2024";"Lemsterland";""
"2025";"Lemsterland";""
"1995";"Leudal";""
"1996";"Leudal";""
"1997";"Leudal";""
"1998";"Leudal";""
"1999";"Leudal";""
"2000";"Leudal";""
"2001";"Leudal";""
"2002";"Leudal";""
"2003";"Leudal";""
"2004";"Leudal";""
"2005";"Leudal";""
"2006";"Leudal";""
"2007";"Leudal";"     226"
"2008";"Leudal";"     226"
"2009";"Leudal";"     226"
"2010";"Leudal";"     226"
"2011";"Leudal";"     225"
"2012";"Leudal";"     224"
"2013";"Leudal";"     224"
"2014";"Leudal";"     222"
"2015";"Leudal";"     223"
"2016";"Leudal";"     222"
"2017";"Leudal";"     220"
"2018";"Leudal";"     220"
"2019";"Leudal";"     219"
"2020";"Leudal";"     220"
"2021";"Leudal";"     222"
"2022";"Leudal";"     221"
"2023";"Leudal";"     222"
"2024";"Leudal";"     222"
"2025";"Leudal";""
"1995";"Leusden";"     456"
"1996";"Leusden";"     460"
"1997";"Leusden";"     454"
"1998";"Leusden";"     477"
"1999";"Leusden";"     485"
"2000";"Leusden";"     490"
"2001";"Leusden";"     492"
"2002";"Leusden";"     495"
"2003";"Leusden";"     494"
"2004";"Leusden";"     496"
"2005";"Leusden";"     494"
"2006";"Leusden";"     492"
"2007";"Leusden";"     488"
"2008";"Leusden";"     486"
"2009";"Leusden";"     487"
"2010";"Leusden";"     491"
"2011";"Leusden";"     488"
"2012";"Leusden";"     493"
"2013";"Leusden";"     494"
"2014";"Leusden";"     495"
"2015";"Leusden";"     496"
"2016";"Leusden";"     500"
"2017";"Leusden";"     506"
"2018";"Leusden";"     508"
"2019";"Leusden";"     513"
"2020";"Leusden";"     519"
"2021";"Leusden";"     522"
"2022";"Leusden";"     525"
"2023";"Leusden";"     538"
"2024";"Leusden";"     541"
"2025";"Leusden";""
"1995";"Lichtenvoorde";"     251"
"1996";"Lichtenvoorde";"     255"
"1997";"Lichtenvoorde";"     255"
"1998";"Lichtenvoorde";"     255"
"1999";"Lichtenvoorde";"     257"
"2000";"Lichtenvoorde";"     259"
"2001";"Lichtenvoorde";"     261"
"2002";"Lichtenvoorde";"     262"
"2003";"Lichtenvoorde";"     263"
"2004";"Lichtenvoorde";"     265"
"2005";"Lichtenvoorde";""
"2006";"Lichtenvoorde";""
"2007";"Lichtenvoorde";""
"2008";"Lichtenvoorde";""
"2009";"Lichtenvoorde";""
"2010";"Lichtenvoorde";""
"2011";"Lichtenvoorde";""
"2012";"Lichtenvoorde";""
"2013";"Lichtenvoorde";""
"2014";"Lichtenvoorde";""
"2015";"Lichtenvoorde";""
"2016";"Lichtenvoorde";""
"2017";"Lichtenvoorde";""
"2018";"Lichtenvoorde";""
"2019";"Lichtenvoorde";""
"2020";"Lichtenvoorde";""
"2021";"Lichtenvoorde";""
"2022";"Lichtenvoorde";""
"2023";"Lichtenvoorde";""
"2024";"Lichtenvoorde";""
"2025";"Lichtenvoorde";""
"1995";"Liemeer";"     231"
"1996";"Liemeer";"     231"
"1997";"Liemeer";"     230"
"1998";"Liemeer";"     230"
"1999";"Liemeer";"     229"
"2000";"Liemeer";"     227"
"2001";"Liemeer";"     224"
"2002";"Liemeer";"     222"
"2003";"Liemeer";"     222"
"2004";"Liemeer";"     222"
"2005";"Liemeer";"     223"
"2006";"Liemeer";"     224"
"2007";"Liemeer";""
"2008";"Liemeer";""
"2009";"Liemeer";""
"2010";"Liemeer";""
"2011";"Liemeer";""
"2012";"Liemeer";""
"2013";"Liemeer";""
"2014";"Liemeer";""
"2015";"Liemeer";""
"2016";"Liemeer";""
"2017";"Liemeer";""
"2018";"Liemeer";""
"2019";"Liemeer";""
"2020";"Liemeer";""
"2021";"Liemeer";""
"2022";"Liemeer";""
"2023";"Liemeer";""
"2024";"Liemeer";""
"2025";"Liemeer";""
"1995";"Liempde";"     240"
"1996";"Liempde";""
"1997";"Liempde";""
"1998";"Liempde";""
"1999";"Liempde";""
"2000";"Liempde";""
"2001";"Liempde";""
"2002";"Liempde";""
"2003";"Liempde";""
"2004";"Liempde";""
"2005";"Liempde";""
"2006";"Liempde";""
"2007";"Liempde";""
"2008";"Liempde";""
"2009";"Liempde";""
"2010";"Liempde";""
"2011";"Liempde";""
"2012";"Liempde";""
"2013";"Liempde";""
"2014";"Liempde";""
"2015";"Liempde";""
"2016";"Liempde";""
"2017";"Liempde";""
"2018";"Liempde";""
"2019";"Liempde";""
"2020";"Liempde";""
"2021";"Liempde";""
"2022";"Liempde";""
"2023";"Liempde";""
"2024";"Liempde";""
"2025";"Liempde";""
"1995";"Lienden";"     191"
"1996";"Lienden";"     195"
"1997";"Lienden";"     200"
"1998";"Lienden";"     207"
"1999";"Lienden";""
"2000";"Lienden";""
"2001";"Lienden";""
"2002";"Lienden";""
"2003";"Lienden";""
"2004";"Lienden";""
"2005";"Lienden";""
"2006";"Lienden";""
"2007";"Lienden";""
"2008";"Lienden";""
"2009";"Lienden";""
"2010";"Lienden";""
"2011";"Lienden";""
"2012";"Lienden";""
"2013";"Lienden";""
"2014";"Lienden";""
"2015";"Lienden";""
"2016";"Lienden";""
"2017";"Lienden";""
"2018";"Lienden";""
"2019";"Lienden";""
"2020";"Lienden";""
"2021";"Lienden";""
"2022";"Lienden";""
"2023";"Lienden";""
"2024";"Lienden";""
"2025";"Lienden";""
"1995";"De Lier";"    1180"
"1996";"De Lier";"    1193"
"1997";"De Lier";"    1243"
"1998";"De Lier";"    1268"
"1999";"De Lier";"    1272"
"2000";"De Lier";"    1289"
"2001";"De Lier";"    1288"
"2002";"De Lier";"    1306"
"2003";"De Lier";"    1321"
"2004";"De Lier";""
"2005";"De Lier";""
"2006";"De Lier";""
"2007";"De Lier";""
"2008";"De Lier";""
"2009";"De Lier";""
"2010";"De Lier";""
"2011";"De Lier";""
"2012";"De Lier";""
"2013";"De Lier";""
"2014";"De Lier";""
"2015";"De Lier";""
"2016";"De Lier";""
"2017";"De Lier";""
"2018";"De Lier";""
"2019";"De Lier";""
"2020";"De Lier";""
"2021";"De Lier";""
"2022";"De Lier";""
"2023";"De Lier";""
"2024";"De Lier";""
"2025";"De Lier";""
"1995";"Lieshout";"     241"
"1996";"Lieshout";"     242"
"1997";"Lieshout";""
"1998";"Lieshout";""
"1999";"Lieshout";""
"2000";"Lieshout";""
"2001";"Lieshout";""
"2002";"Lieshout";""
"2003";"Lieshout";""
"2004";"Lieshout";""
"2005";"Lieshout";""
"2006";"Lieshout";""
"2007";"Lieshout";""
"2008";"Lieshout";""
"2009";"Lieshout";""
"2010";"Lieshout";""
"2011";"Lieshout";""
"2012";"Lieshout";""
"2013";"Lieshout";""
"2014";"Lieshout";""
"2015";"Lieshout";""
"2016";"Lieshout";""
"2017";"Lieshout";""
"2018";"Lieshout";""
"2019";"Lieshout";""
"2020";"Lieshout";""
"2021";"Lieshout";""
"2022";"Lieshout";""
"2023";"Lieshout";""
"2024";"Lieshout";""
"2025";"Lieshout";""
"1995";"Liesveld";"     231"
"1996";"Liesveld";"     231"
"1997";"Liesveld";"     233"
"1998";"Liesveld";"     235"
"1999";"Liesveld";"     236"
"2000";"Liesveld";"     235"
"2001";"Liesveld";"     236"
"2002";"Liesveld";"     238"
"2003";"Liesveld";"     236"
"2004";"Liesveld";"     237"
"2005";"Liesveld";"     237"
"2006";"Liesveld";"     237"
"2007";"Liesveld";"     239"
"2008";"Liesveld";"     238"
"2009";"Liesveld";"     237"
"2010";"Liesveld";"     238"
"2011";"Liesveld";"     238"
"2012";"Liesveld";"     239"
"2013";"Liesveld";""
"2014";"Liesveld";""
"2015";"Liesveld";""
"2016";"Liesveld";""
"2017";"Liesveld";""
"2018";"Liesveld";""
"2019";"Liesveld";""
"2020";"Liesveld";""
"2021";"Liesveld";""
"2022";"Liesveld";""
"2023";"Liesveld";""
"2024";"Liesveld";""
"2025";"Liesveld";""
"1995";"Limmen";"     670"
"1996";"Limmen";"     684"
"1997";"Limmen";"     697"
"1998";"Limmen";"     707"
"1999";"Limmen";"     715"
"2000";"Limmen";"     718"
"2001";"Limmen";"     723"
"2002";"Limmen";""
"2003";"Limmen";""
"2004";"Limmen";""
"2005";"Limmen";""
"2006";"Limmen";""
"2007";"Limmen";""
"2008";"Limmen";""
"2009";"Limmen";""
"2010";"Limmen";""
"2011";"Limmen";""
"2012";"Limmen";""
"2013";"Limmen";""
"2014";"Limmen";""
"2015";"Limmen";""
"2016";"Limmen";""
"2017";"Limmen";""
"2018";"Limmen";""
"2019";"Limmen";""
"2020";"Limmen";""
"2021";"Limmen";""
"2022";"Limmen";""
"2023";"Limmen";""
"2024";"Limmen";""
"2025";"Limmen";""
"1995";"Lingewaal";"     209"
"1996";"Lingewaal";"     210"
"1997";"Lingewaal";"     211"
