"Perioden";"Regio's";"Inkomen en vermogen/Particuliere huishoudens excl. studenten (x 1 000)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Woningbezit: huurwoning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Woningbezit: huurwoning (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Woningbezit: huurwoning (1 000 euro)"
"2001";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Naarden";"     7.2";"    54.8";"    29.2";"    37.6";"    54.8";"    84.2";"    62.1";"    72.9";"    41.4";"    65.5";"    26.4";"    37.0";"    29.2";"    26.0";"    40.0";"    44.4";"    38.8";"    45.4";"    32.6";"    43.2";"    20.7";"   213.0";"   118.7";"    88.6";"   347.0";"   198.0";"   109.3";"   392.5";"   303.4";"   344.7";"     6.8"
"2012";"Naarden";"     7.2";"    54.3";"    30.0";"    40.8";"    54.7";"    80.7";"    62.7";"    71.2";"    40.3";"    64.6";"    26.8";"    36.9";"    30.1";"    28.2";"    40.0";"    42.7";"    39.0";"    44.2";"    32.6";"    42.9";"    21.0";"   181.1";"   100.1";"    64.3";"   325.0";"   155.9";"    76.5";"   330.4";"   280.1";"   304.7";"     6.4"
"2013";"Naarden";"     7.2";"    54.5";"    30.3";"    39.7";"    55.7";"    81.0";"    65.9";"    68.5";"    38.7";"    64.7";"    27.7";"    37.1";"    30.4";"    27.4";"    40.8";"    42.9";"    41.2";"    42.3";"    31.5";"    43.0";"    21.7";"   137.2";"    74.5";"    37.5";"   277.4";"   105.9";"    46.4";"   268.2";"   244.3";"   257.7";"     4.4"
"2014";"Naarden";"     7.2";"    59.5";"    31.4";"    43.4";"    61.4";"    90.7";"    68.7";"    82.3";"    43.8";"    71.4";"    28.1";"    40.3";"    31.4";"    29.8";"    44.8";"    48.0";"    42.9";"    50.4";"    34.8";"    47.3";"    22.0";"   135.2";"    72.0";"    44.9";"   284.1";"   110.5";"    44.8";"   238.7";"   236.6";"   256.7";"     4.3"
"2015";"Naarden";"     7.3";"    57.9";"    33.2";"    42.6";"    57.1";"    88.6";"    71.4";"    74.6";"    39.5";"    69.1";"    28.2";"    39.6";"    33.3";"    29.2";"    41.8";"    47.0";"    44.7";"    47.0";"    32.4";"    46.1";"    22.3";"   151.7";"    89.6";"    63.2";"   304.7";"   129.5";"    64.2";"   272.0";"   250.7";"   279.1";"     5.7"
"2016";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Naarden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Neder-Betuwe";"     7.9";"    40.5";"    20.6";"    34.4";"    37.2";"    52.3";"    44.0";"    60.5";"    26.2";"    48.3";"    27.5";"    25.4";"    20.6";"    22.8";"    27.2";"    26.6";"    26.3";"    33.4";"    20.7";"    29.1";"    19.3";"    84.1";"    24.5";"    13.8";"   123.1";"   112.1";"    57.8";"   233.7";"    74.8";"   211.6";"     8.0"
"2012";"Neder-Betuwe";"     7.9";"    41.3";"    21.0";"    34.6";"    37.9";"    53.9";"    44.4";"    64.0";"    27.0";"    49.3";"    27.7";"    26.0";"    21.0";"    23.0";"    27.7";"    27.4";"    26.5";"    35.0";"    21.4";"    29.8";"    19.5";"    69.4";"    22.4";"    11.9";"   111.9";"    93.2";"    44.8";"   212.2";"    71.8";"   193.8";"     7.5"
"2013";"Neder-Betuwe";"     8.0";"    40.9";"    21.8";"    32.5";"    37.5";"    53.9";"    44.7";"    62.0";"    26.9";"    49.0";"    27.1";"    26.0";"    21.9";"    21.9";"    27.4";"    27.4";"    26.9";"    34.5";"    21.2";"    29.8";"    19.4";"    53.2";"    19.7";"     8.5";"    96.0";"    67.6";"    30.8";"   182.1";"    64.0";"   164.0";"     6.1"
"2014";"Neder-Betuwe";"     8.0";"    43.6";"    21.7";"    33.6";"    40.5";"    58.1";"    46.0";"    73.3";"    28.3";"    52.9";"    27.4";"    27.5";"    21.8";"    23.0";"    29.6";"    29.5";"    27.8";"    40.3";"    22.1";"    32.0";"    19.8";"    48.2";"    20.2";"     8.0";"    88.2";"    57.2";"    27.1";"   166.4";"    54.8";"   153.2";"     5.2"
"2015";"Neder-Betuwe";"     8.2";"    42.4";"    21.9";"    32.9";"    39.9";"    56.3";"    46.6";"    64.7";"    27.3";"    51.2";"    27.2";"    27.0";"    21.9";"    22.4";"    29.2";"    28.8";"    28.3";"    35.8";"    21.7";"    31.2";"    19.8";"    52.8";"    19.5";"     8.3";"    98.7";"    68.9";"    30.2";"   173.1";"    59.6";"   158.4";"     6.2"
"2016";"Neder-Betuwe";"     8.4";"    44.2";"    22.6";"    34.2";"    41.5";"    59.2";"    48.2";"    70.1";"    27.6";"    53.7";"    27.8";"    28.2";"    22.6";"    23.2";"    30.4";"    30.2";"    29.3";"    39.2";"    22.0";"    32.7";"    20.4";"    58.4";"    18.8";"     8.8";"   102.4";"    73.3";"    39.2";"   178.0";"    59.7";"   165.3";"     6.0"
"2017";"Neder-Betuwe";"     8.5";"    45.6";"    23.3";"    36.3";"    42.2";"    61.8";"    49.2";"    70.2";"    30.1";"    55.3";"    28.6";"    29.1";"    23.3";"    24.5";"    30.9";"    31.5";"    30.0";"    38.8";"    23.7";"    33.7";"    21.0";"    69.1";"    19.2";"     8.9";"   118.9";"    87.3";"    46.2";"   194.9";"    68.2";"   175.9";"     6.5"
"2018";"Neder-Betuwe";"     8.6";"    47.7";"    24.4";"    38.6";"    44.5";"    64.4";"    50.7";"    79.0";"    29.0";"    58.1";"    29.1";"    30.0";"    24.4";"    25.3";"    31.9";"    32.3";"    30.5";"    44.3";"    22.9";"    35.0";"    21.2";"    78.1";"    20.9";"    12.3";"   129.2";"    97.2";"    57.0";"   218.8";"    64.5";"   188.2";"     6.4"
"2019";"Neder-Betuwe";"     8.9";"    51.2";"    24.7";"    42.4";"    47.3";"    71.2";"    51.8";"    88.7";"    33.0";"    63.6";"    29.7";"    32.1";"    24.7";"    27.8";"    33.8";"    35.6";"    31.4";"    49.3";"    25.3";"    38.0";"    22.0";"    86.0";"    18.4";"    14.2";"   140.4";"   114.6";"    62.8";"   249.4";"    76.4";"   201.6";"     5.0"
"2020";"Neder-Betuwe";"     9.1";"    51.4";"    25.2";"    42.2";"    47.4";"    73.3";"    53.9";"    85.1";"    31.9";"    64.0";"    30.2";"    32.3";"    25.2";"    27.9";"    33.9";"    36.6";"    32.8";"    47.1";"    24.8";"    38.2";"    22.5";"    95.6";"    17.3";"    13.1";"   160.1";"   133.3";"    72.0";"   269.1";"    75.4";"   216.5";"     5.1"
"2021";"Neder-Betuwe";"     9.2";"    53.4";"    26.5";"    43.7";"    50.0";"    75.4";"    56.0";"    86.0";"    33.4";"    65.8";"    32.0";"    33.7";"    26.5";"    28.7";"    35.8";"    37.7";"    34.1";"    47.8";"    26.3";"    39.6";"    23.7";"   128.0";"    20.7";"    26.7";"   188.5";"   178.1";"   101.8";"   323.6";"    88.9";"   254.7";"     6.9"
"2022";"Neder-Betuwe";"     9.4";"    57.2";"    27.3";"    46.9";"    56.2";"    79.7";"    58.4";"    98.8";"    34.3";"    71.3";"    33.2";"    36.2";"    27.3";"    30.8";"    40.3";"    39.9";"    35.6";"    56.5";"    26.9";"    42.9";"    24.8";"   174.4";"    21.5";"    29.6";"   243.6";"   238.2";"   148.3";"   386.6";"   110.3";"   325.9";"     7.4"
"2023";"Neder-Betuwe";"     9.5";"    60.3";"    29.0";"       .";"    57.1";"    85.6";"    63.2";"       .";"    37.1";"    74.9";"    36.5";"    38.1";"    29.1";"       .";"    40.8";"    42.8";"    38.5";"       .";"    29.2";"    45.0";"    26.9";"   173.9";"    21.8";"    23.6";"   250.8";"   242.9";"   146.7";"   408.1";"    95.0";"   329.5";"     8.0"
"2024";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Neder-Betuwe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Nederhorst den Berg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Nederlek";"     5.9";"    41.4";"    22.1";"    33.6";"    44.4";"    55.9";"    44.6";"    65.0";"    30.5";"    50.8";"    25.0";"    28.2";"    22.1";"    22.8";"    32.5";"    29.8";"    28.6";"    40.1";"    24.3";"    33.2";"    19.3";"    79.4";"    26.3";"    23.8";"   134.7";"   115.9";"    58.3";"   262.8";"    90.2";"   184.7";"    11.4"
"2012";"Nederlek";"     5.9";"    41.0";"    22.4";"    33.0";"    42.6";"    57.3";"    45.0";"    64.4";"    29.7";"    50.3";"    24.9";"    27.9";"    22.5";"    22.5";"    31.1";"    30.5";"    29.0";"    39.0";"    23.7";"    32.9";"    19.3";"    71.1";"    24.7";"    20.9";"   127.3";"    94.6";"    45.2";"   238.2";"    93.7";"   169.6";"    10.0"
"2013";"Nederlek";"     6.0";"    40.8";"    22.2";"    33.6";"    43.7";"    55.7";"    45.6";"    61.7";"    29.0";"    49.6";"    25.2";"    27.9";"    22.2";"    22.9";"    31.9";"    29.6";"    29.5";"    37.9";"    23.2";"    32.7";"    19.6";"    53.0";"    20.5";"    18.2";"   117.1";"    66.3";"    27.9";"   201.8";"    82.7";"   143.8";"     8.0"
"2014";"Nederlek";"     6.0";"    43.4";"    23.1";"    35.1";"    45.8";"    61.1";"    46.5";"    73.0";"    31.9";"    53.6";"    25.4";"    29.6";"    23.1";"    24.0";"    33.5";"    32.6";"    30.2";"    44.2";"    25.3";"    35.2";"    19.8";"    51.0";"    20.2";"    12.1";"   116.4";"    62.8";"    28.5";"   198.8";"    78.0";"   142.7";"     7.4"
"2015";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Nederlek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Nederweert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Nederweert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Nederweert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Nederweert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Nederweert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Nederweert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
